"","date","Country","ISO3","confirmed","death","recovered","confirmed_cum_per_million","death_cum_per_million","confirmed_cum","death_cum","confirmed_cum_per_million_lag_01","death_cum_per_million_lag_01","confirmed_cum_per_million_lag_02","death_cum_per_million_lag_02","confirmed_cum_per_million_lag_03","death_cum_per_million_lag_03","confirmed_cum_per_million_lag_04","death_cum_per_million_lag_04","confirmed_cum_per_million_lag_05","death_cum_per_million_lag_05","confirmed_cum_per_million_lag_06","death_cum_per_million_lag_06","confirmed_cum_per_million_lag_07","death_cum_per_million_lag_07","confirmed_cum_per_million_lag_08","death_cum_per_million_lag_08","confirmed_cum_per_million_lag_09","death_cum_per_million_lag_09","confirmed_cum_per_million_lag_10","death_cum_per_million_lag_10","confirmed_cum_per_million_lag_11","death_cum_per_million_lag_11","confirmed_cum_per_million_lag_12","death_cum_per_million_lag_12","confirmed_cum_per_million_lag_13","death_cum_per_million_lag_13","confirmed_cum_per_million_lag_14","death_cum_per_million_lag_14"
"580",2020-05-16,"Spain","ESP",515,104,1663,4934.21175754361,589.522573551459,230698,27563,4923.19684170067,587.298202196768,4909.44423803657,584.346632514581,4891.28566803529,579.705396130274,4877.14807702134,575.769969887359,4864.44349447628,572.005649133266,4798.43955216304,569.374902242622,4781.92787249168,566.316391629922,4766.50699031156,562.48790631752,4736.34964790661,557.590011699979,4712.35210309927,553.034328060083,4691.04946974088,547.815610651,4662.85984045739,543.858796221982,4651.20327903137,540.351133701123,4632.29612251649,536.843471180264
"581",2020-01-22,"Italy","ITA",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582",2020-01-23,"Italy","ITA",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",2020-01-24,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584",2020-01-25,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",2020-01-26,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586",2020-01-27,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587",2020-01-28,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",2020-01-29,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",2020-01-30,"Italy","ITA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590",2020-01-31,"Italy","ITA",2,0,0,0.0330787219996061,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591",2020-02-01,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"592",2020-02-02,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"593",2020-02-03,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"594",2020-02-04,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"595",2020-02-05,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"596",2020-02-06,"Italy","ITA",0,0,0,0.0330787219996061,0,2,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597",2020-02-07,"Italy","ITA",1,0,0,0.0496180829994092,0,3,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"598",2020-02-08,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0,0,0
"599",2020-02-09,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0,0,0
"600",2020-02-10,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0,0,0
"601",2020-02-11,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0,0,0
"602",2020-02-12,"Italy","ITA",0,0,0,0.0496180829994092,0,3,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0496180829994092,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0.0330787219996061,0,0,0,0,0
